refYear,refMonth,origin,tonnes,share_pct
2023,1,Saudi Arabia,1533213.5418439999,18.171496261076914
2023,1,USA,877042.494058,10.394621470935379
2023,1,United Arab Emirates,536279.514176,6.3559321130316855
2023,2,India,741835.663802,11.751468491222017
2023,2,Kuwait,991170.952,15.701205509784403
2023,2,Other,1974661.3315209998,31.280742555937742
2023,2,Russian Federation,380698.874457,6.030676396570758
2023,2,Saudi Arabia,1121208.61995,17.76114092695556
2023,2,USA,371790.66370299994,5.889560832710866
2023,2,United Arab Emirates,731339.956419,11.585205286818663
2023,3,India,454874.72896000004,8.105365287140827
2023,3,Kuwait,939298.75621,16.737266434312247
2023,3,Other,1957453.5988659998,34.87966123708874
2023,3,Russian Federation,61065.482480000006,1.0881194544870465
2023,3,Saudi Arabia,1358114.77654,24.2001053584323
2023,3,USA,407127.351168,7.254559749114757
2023,3,United Arab Emirates,434085.404138,7.7349224794240845
2023,4,India,1516724.632194,19.290212381738446
2023,4,Kuwait,737249.16734,9.376582086410904
2023,4,Other,2752658.1560019995,35.00922930670206
2023,4,Russian Federation,41824.09345,0.5319328427844645
2023,4,Saudi Arabia,1300496.5208800002,16.54015076764334
2023,4,USA,513286.58634599997,6.5281508938040425
2023,4,United Arab Emirates,1000425.091227,12.723741720916735
2023,5,India,1408372.38546,17.64655427040558
2023,5,Kuwait,1137099.56645,14.24757359443731
2023,5,Other,2061421.1877440002,25.829092674099147
2023,5,Russian Federation,51384.523,0.6438352406932769
2023,5,Saudi Arabia,1737628.26059,21.772048159178258
2023,5,USA,634372.7123609999,7.948531661025466
2023,5,United Arab Emirates,950726.402993,11.91236440016095
2023,6,India,629108.38675,8.937458561584787
2023,6,Kuwait,804552.9910030001,11.42992077221487
2023,6,Other,2088680.9218949995,29.67294599941092
2023,6,Russian Federation,54966.586,0.7808854483480412
2023,6,Saudi Arabia,1626355.15302,23.104892722265298
2023,6,USA,1043424.186685,14.823455905315027
2023,6,United Arab Emirates,791919.36741,11.250440590861054
2023,7,India,1427538.892029,16.663928352991377
2023,7,Kuwait,1228762.3529700001,14.34357265296084
2023,7,Other,2628373.7976200003,30.68149869189678
2023,7,Russian Federation,43527.418,0.5081036873971012
2023,7,Saudi Arabia,1414328.535955,16.5097213969751
2023,7,USA,1132464.4172059998,13.219468846702043
2023,7,United Arab Emirates,691645.42738,8.073706371076776
2023,8,India,1083591.176126,12.896594462560165
2023,8,Kuwait,1527410.50349,18.178806062070443
2023,8,Other,2369427.3269539997,28.200251180967957
2023,8,Russian Federation,39267.318346,0.4673484719127363
2023,8,Saudi Arabia,1255444.08492,14.941938980638675
2023,8,USA,1110101.9135900002,13.212117731399386
2023,8,United Arab Emirates,1016907.4012300001,12.102943110450632
2023,9,India,1300348.3508199998,17.075636377950442
2023,9,Kuwait,1086692.98945,14.270002596315623
2023,9,Other,2607084.77195,34.23515825143104
2023,9,Russian Federation,38716.24,0.5084056404920785
2023,9,Saudi Arabia,1309526.3444619998,17.196157992032628
2023,9,USA,642768.151494,8.440565347983595
2023,9,United Arab Emirates,630089.4428869999,8.274073793794598
2023,10,India,1091961.51126,14.679742760810196
2023,10,Kuwait,1227233.1021500002,16.49826121281994
2023,10,Other,2473056.144513,33.246435575006096
2023,10,Russian Federation,31155.576,0.4188387928775393
2023,10,Saudi Arabia,1054235.6119940002,14.172576078711588
2023,10,USA,772078.018311,10.379401273038955
2023,10,United Arab Emirates,788840.2956640001,10.604744306735686
2023,11,India,1078182.4858,16.046667380731762
2023,11,Kuwait,1116296.0239600001,16.61391390681733
2023,11,Other,2498203.328411,37.180939579725745
2023,11,Russian Federation,37607.658,0.559717475327511
2023,11,Saudi Arabia,727966.408837,10.834376351685615
2023,11,USA,772371.156082,11.495255394473327
2023,11,United Arab Emirates,488415.966465,7.269129911238719
2023,12,India,1311204.972827,18.045351564384156
2023,12,Kuwait,834758.159,11.488291123481394
2023,12,Other,2742666.5188080003,37.74572441488597
2023,12,Russian Federation,41851.954,0.5759841056414898
2023,12,Saudi Arabia,765862.483842,10.540120009691886
2023,12,USA,1085659.538678,14.941300910743626
2023,12,United Arab Emirates,484161.114212,6.663227871171465
2024,1,India,1272595.51053,17.06443066753488
2024,1,Kuwait,921192.0019,12.352406493531817
2024,1,Other,1830538.136754,24.54596991773745
2024,1,Russian Federation,157229.908,2.1083202335135365
2024,1,Saudi Arabia,1226590.7566600002,16.447545784399725
2024,1,USA,1208631.502984,16.20672736514635
2024,1,United Arab Emirates,840813.5632999999,11.274599538136245
2024,2,India,592898.259242,10.363092492451583
2024,2,Kuwait,653871.7735,11.428830429772061
2024,2,Other,1661459.9864550005,29.040165397268957
2024,2,Russian Federation,36970.947,0.6462041966261601
2024,2,Saudi Arabia,1117275.47,19.528525939610514
2024,2,USA,1297982.4462459998,22.687049479994503
2024,2,United Arab Emirates,360789.47729,6.30613206427622
2024,3,India,644363.796984,8.994554758857426
2024,3,Kuwait,667917.60447,9.323337990013526
2024,3,Other,2516713.7124900003,35.13034004286364
2024,3,Russian Federation,333.113,0.004649862598444014
2024,3,Saudi Arabia,1222029.9738,17.058089805411793
2024,3,USA,1337242.452662,18.66631943419973
2024,3,United Arab Emirates,775331.4617379999,10.82270810605546
2024,4,India,1285606.2554499998,14.409018264656162
2024,4,Kuwait,1604581.4352209999,17.98407802483409
2024,4,Other,2654728.6248480002,29.7540814545516
2024,4,Russian Federation,109.404,0.0012261952114371558
2024,4,Saudi Arabia,1076604.7730999999,12.06653885950793
2024,4,USA,1560924.536297,17.494773425305695
2024,4,United Arab Emirates,739678.476773,8.290283775933075
2024,5,India,1241492.139457,14.429953439221649
2024,5,Kuwait,1111507.5737680001,12.919133377541606
2024,5,Other,2609527.8645729995,30.330732178948367
2024,5,Russian Federation,34125.278,0.3966405883615749
2024,5,Saudi Arabia,1489460.5751890002,17.312108604194663
2024,5,USA,1392939.941047,16.190242252948668
2024,5,United Arab Emirates,724523.5188140001,8.421189558783478
2024,6,India,1163328.99104,14.837761529702442
2024,6,Kuwait,1417014.00132,18.07340485604101
2024,6,Other,2118573.5102989995,27.02149501222247
2024,6,Russian Federation,728.211,0.009288018475020214
2024,6,Saudi Arabia,1410713.4048499998,17.9930434547205
2024,6,USA,960033.0965499999,12.244809728756177
2024,6,United Arab Emirates,769935.5667890001,9.820197400082384
2024,7,India,718166.9871360001,9.664777481701314
2024,7,Kuwait,1429580.2002,19.238665623267583
2024,7,Other,2031323.623566,27.336665659585393
2024,7,Russian Federation,65152.482,0.8767936318288414
2024,7,Saudi Arabia,1196566.7809229998,16.102872850971703
2024,7,USA,1390668.139931,18.715004120315186
2024,7,United Arab Emirates,599307.6626,8.065220632329984
2024,8,India,1119988.657722,13.39634213490021
2024,8,Kuwait,1189549.479601,14.228368926110127
2024,8,Other,2103033.827249,25.15468391295908
2024,8,Russian Federation,34.879,0.00041719263324822343
2024,8,Saudi Arabia,936810.43619,11.205321618410016
2024,8,USA,1765431.54157,21.1165754077542
2024,8,United Arab Emirates,1245557.672051,14.898290807233117
2024,9,India,856392.8588670001,11.012563846427476
2024,9,Kuwait,1392181.3274559998,17.90239794233778
2024,9,Other,2364165.3835489997,30.401377078612985
2024,9,Russian Federation,62119.005,0.7988033780945952
2024,9,Saudi Arabia,873732.06759,11.235532944232883
2024,9,USA,1376340.192869,17.698692943828124
2024,9,United Arab Emirates,851576.71377,10.950631866466152
2024,10,India,1126669.061615,12.071953107846987
2024,10,Kuwait,1277210.94794,13.684968548137158
2024,10,Other,2289467.638385,24.53102416152202
2024,10,Russian Federation,30350.21,0.3251942601566781
2024,10,Saudi Arabia,1593063.9471300002,17.069247681291756
2024,10,USA,1945823.171442,20.84896699669631
2024,10,United Arab Emirates,1070362.65466,11.468645244349105
2024,11,India,1449027.546593,16.723400272648725
2024,11,Kuwait,1644020.705679,18.97383965007167
2024,11,Other,2659821.5791120003,30.697319057808357
2024,11,Russian Federation,63439.263,0.7321601239709374
2024,11,Saudi Arabia,1050680.96452,12.126034711923865
2024,11,USA,1125672.088913,12.991516250262336
2024,11,United Arab Emirates,672008.4512769999,7.755729933314106
2024,12,India,273326.81561,3.8542509355355588
2024,12,Kuwait,1889703.329,26.64718720491484
2024,12,Other,1829051.618481,25.791922010799233
2024,12,Russian Federation,58015.4,0.8180899090578977
2024,12,Saudi Arabia,482119.82494,6.798494257389834
2024,12,USA,2045008.3040160004,28.837182152585267
2024,12,United Arab Emirates,514342.438792,7.25287352971736
2025,1,India,28852.957361,0.5306709788340681
2025,1,Kuwait,1329972.038,24.461186227703184
2025,1,Other,1796535.6347720001,33.04234335102829
2025,1,Russian Federation,0.0,0.0
2025,1,Saudi Arabia,609016.995152,11.201196497823872
2025,1,USA,1242147.496444,22.845894774211757
2025,1,United Arab Emirates,430545.77752999996,7.918708170398839
2025,2,India,375473.196069,5.942224602563552
2025,2,Kuwait,1688672.5049299998,26.72486720629627
2025,2,Other,2202405.670934,34.855188864785156
2025,2,Russian Federation,61.812,0.0009782343745947718
2025,2,Saudi Arabia,714258.3896649999,11.303826265336989
2025,2,USA,982572.4519839999,15.550154469368724
2025,2,United Arab Emirates,355287.109337,5.622760357274712
2025,3,India,744591.624,10.82113271650644
2025,3,Kuwait,1428931.605,20.76662970965083
2025,3,Other,2041034.7455510003,29.66231038426015
2025,3,Russian Federation,29920.157,0.43482894429619473
2025,3,Saudi Arabia,1386678.123,20.152560840597157
2025,3,USA,855577.860683,12.434093107331813
2025,3,United Arab Emirates,394168.68400999997,5.72844429735742
2025,4,India,695841.842756,9.398183925851962
2025,4,Kuwait,1366714.134,18.459123921781046
2025,4,Other,1963589.864862,26.520651060334284
2025,4,Russian Federation,30063.736,0.4060470398089188
2025,4,Saudi Arabia,1662767.053265,22.45767591459864
2025,4,USA,916781.7333310001,12.38224380928379
2025,4,United Arab Emirates,768244.87988,10.376074328341375
2025,5,India,1152227.502031,13.530659037160778
2025,5,Kuwait,1649207.56192,19.366718085198396
2025,5,Other,2250515.1426159996,26.42789987136159
2025,5,Russian Federation,59817.524,0.7024398569419027
2025,5,Saudi Arabia,1519823.2513200003,17.847352345011778
2025,5,USA,1047560.412313,12.301548726141595
2025,5,United Arab Emirates,836527.693319,9.823382078183949
2025,6,India,1410831.8171940001,17.68210099103338
2025,6,Kuwait,1721662.61751,21.577775539430295
2025,6,Other,2112395.615277,26.474872587316955
2025,6,Russian Federation,59660.227,0.7477277915805022
2025,6,Saudi Arabia,1059064.172975,13.273360746693566
2025,6,USA,1176809.831372,14.749079253788436
